Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
VCVCU,10X Capital Venture Acquisition Corp,10.1,0,n/a,2020,Finance,Business Services
TXG,"10x Genomics, Inc.",153.11,16475679750.87,n/a,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments
YI,"111, Inc.",7.11,181388428.74,25511734,2018,Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",3.1,15367828.4,n/a,2014,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",24.96,0,n/a,n/a,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.01,62554339.62,n/a,n/a,Finance,Finance/Investors Services
ATNF,180 Life Sciences Corp.,2.74,66856000,n/a,2017,Health Care,Major Pharmaceuticals
ATNFW,180 Life Sciences Corp.,0.18,0,n/a,2017,Health Care,Major Pharmaceuticals
FLWS,"1-800-FLOWERS.COM, Inc.",23.44,1515248374.88,n/a,1999,Consumer Services,Other Specialty Stores
GOED,1847 Goedeker Inc.,6,36667200,n/a,2020,Consumer Services,Home Furnishings
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.99,47651820.48,n/a,2019,Finance,Banks
ONEM,"1Life Healthcare, Inc.",32.87,4372126068.46,n/a,2020,Health Care,Medical/Nursing Services
FCCY,1st Constitution Bancorp (NJ),16.34,167286485.34,n/a,n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,37.32,953661994.08,n/a,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",28.34,2300562754.88,81177232,2011,Technology,"Computer Software: Programming, Data Processing"
XXII,"22nd Century Group, Inc",1.59,220786116.87,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
TWOU,"2U, Inc.",32.31,2328544801.98,n/a,2014,Technology,Computer Software: Prepackaged Software
QFIN,"360 DigiTech, Inc.",12.4,1277858861.6,103053134,2018,Finance,Finance: Consumer Services
KRKR,36Kr Holdings Inc.,3.31,8306378.8,2509480,2019,Miscellaneous,Business Services
