TXG,"10x Genomics, Inc.",153.11,16475679750.87,n/a,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AAON,"AAON, Inc.",65.13,3402527647.35,n/a,n/a,Capital Goods,Industrial Machinery/Components
AIR,AAR Corp.,28.37,1001484291.77,n/a,n/a,Capital Goods,Aerospace
AXDX,"Accelerate Diagnostics, Inc.",7.83,446542504.02,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
ACU,Acme United Corporation.,33.12,110584798.56,n/a,1988,Capital Goods,Industrial Machinery/Components
ADNT,Adient plc,31.29,2937642281.49,n/a,2016,Capital Goods,Auto Parts:O.E.M.
WMS,"Advanced Drainage Systems, Inc.",69.75,4915754986.5,n/a,2014,Capital Goods,Containers/Packaging
AEIS,"Advanced Energy Industries, Inc.",96.46,3691786088.9,n/a,1995,Capital Goods,Industrial Machinery/Components
AEHR,Aehr Test Systems,1.65,38462014.8,n/a,1997,Capital Goods,Electrical Products
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",37.43,2859652000,n/a,n/a,Capital Goods,Military/Government/Technical
AVAV,"AeroVironment, Inc.",85.39,2058288719.96,n/a,2007,Capital Goods,Aerospace
AGCO,AGCO Corporation,92.51,6928953855.12,n/a,n/a,Capital Goods,Industrial Machinery/Components
UAVS,"AgEagle Aerial Systems, Inc.",2.89,167563289.53,n/a,n/a,Capital Goods,Aerospace
A,"Agilent Technologies, Inc.",116.9,35771400000,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AIRI,Air Industries Group,1.33,42200574.15,n/a,n/a,Capital Goods,Military/Government/Technical
ALG,"Alamo Group, Inc.",135.72,1612264703.4,n/a,n/a,Capital Goods,Industrial Machinery/Components
AMOT,"Allied Motion Technologies, Inc.",40.57,395869645.58,n/a,n/a,Capital Goods,Electrical Products
ALSN,"Allison Transmission Holdings, Inc.",41.05,4625136422.1,n/a,2012,Capital Goods,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc.,9.06,271967628.12,n/a,2019,Capital Goods,Industrial Machinery/Components
AIMC,Altra Industrial Motion Corp.,56.76,3673167888.72,n/a,2006,Capital Goods,Industrial Machinery/Components
AXL,"American Axle & Manufacturing Holdings, Inc.",7.96,901653000.4,n/a,n/a,Capital Goods,Auto Parts:O.E.M.
AOUT,"American Outdoor Brands, Inc.",13.885,194044319.04,n/a,n/a,Capital Goods,Ordnance And Accessories
AP,Ampco-Pittsburgh Corporation,4.25,77824895,n/a,n/a,Capital Goods,Fluid Controls
APH,Amphenol Corporation,130.81,39132432978.31,n/a,n/a,Capital Goods,Electrical Products
