AOS,A.O Smith Corporation,56.31,9092249903.46,n/a,n/a,Consumer Durables,Consumer Electronics/Appliances
ABB,ABB Ltd,26.34,54228503656.02,n/a,n/a,Consumer Durables,Electrical Products
ACAM,Acamar Partners Acquisition Corp.,10.2,389605850.4,n/a,2019,Consumer Durables,Automotive Aftermarket
ACAMU,Acamar Partners Acquisition Corp.,11,0,n/a,2019,Consumer Durables,Automotive Aftermarket
ACAMW,Acamar Partners Acquisition Corp.,1.29,0,n/a,2019,Consumer Durables,Automotive Aftermarket
ACCO,Acco Brands Corporation,7.66,723845771.42,n/a,n/a,Consumer Durables,Publishing
AYI,"Acuity Brands, Inc. ",118.72,4373202686.72,n/a,n/a,Consumer Durables,Building Products
AMCR,Amcor plc,11.33,17770895610.27,n/a,2019,Consumer Durables,Miscellaneous manufacturing industries
AMSC,American Superconductor Corporation,19.88,548749667.76,n/a,1991,Consumer Durables,Metal Fabrications
CRMT,"America&#39;s Car-Mart, Inc.",104.5,714996524,n/a,n/a,Consumer Durables,Automotive Aftermarket
APHA,Aphria Inc.,8.38,2424679029.74,n/a,n/a,Consumer Durables,Specialty Chemicals
AIT,"Applied Industrial Technologies, Inc.",78.43,3039946329.42,n/a,n/a,Consumer Durables,Industrial Specialties
AUVI,"Applied UV, Inc.",5.18,40073593.7,n/a,2020,Consumer Durables,Building Products
ARD,Ardagh Group S.A.,17.78,4202480800,n/a,2017,Consumer Durables,Containers/Packaging
ARRY,"Array Technologies, Inc.",45.58,5788407805.86,n/a,2020,Consumer Durables,Miscellaneous manufacturing industries
ABG,Asbury Automotive Group Inc,112.77,2174831247.96,n/a,2002,Consumer Durables,Automotive Aftermarket
ASH,Ashland Global Holdings Inc.,75.17,4553689302.82,n/a,n/a,Consumer Durables,Specialty Chemicals
ACB,Aurora Cannabis Inc.,11.68,2145102640.64,n/a,2018,Consumer Durables,Specialty Chemicals
AN,"AutoNation, Inc.",61.29,5385247198.38,n/a,n/a,Consumer Durables,Automotive Aftermarket
AVY,Avery Dennison Corporation,149.34,12457602603.48,n/a,n/a,Consumer Durables,Containers/Packaging
