XXII,"22nd Century Group, Inc",1.59,220786116.87,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
GOLF,Acushnet Holdings Corp.,37.7,2800902913.9,n/a,2016,Consumer Non-Durables,Recreational Products/Toys
AGRO,Adecoagro S.A.,6.18,725154921.12,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling
ALCO,"Alico, Inc.",30.99,232165985.58,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
MO,Altria Group,39.83,74020835341.95,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
AMAL,Amalgamated Bank,12.72,394949958,n/a,2018,Consumer Non-Durables,Textiles
ABEV,Ambev S.A.,2.66,41850939281.2,n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution)
DIT,AMCON Distributing Company,90.995,50178009.815,n/a,n/a,Consumer Non-Durables,Food Distributors
BUD,Anheuser-Busch Inbev SA,66.68,131455556187.4,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
ATR,"AptarGroup, Inc.",126.32,8175745947.36,n/a,n/a,Consumer Non-Durables,Plastic Products
RKDA,"Arcadia Biosciences, Inc.",3.33,36071235.99,n/a,2015,Consumer Non-Durables,Farming/Seeds/Milling
ADM,Archer-Daniels-Midland Company,49.77,27691482968.73,n/a,n/a,Consumer Non-Durables,Packaged Foods
FUV,"Arcimoto, Inc.",13.5,460129207.5,n/a,2017,Consumer Non-Durables,Motor Vehicles
ARLO,"Arlo Technologies, Inc.",5.26,415735508.94,n/a,2018,Consumer Non-Durables,Consumer Electronics/Appliances
AFI,"Armstrong Flooring, Inc.",3.56,76989350.32,n/a,2016,Consumer Non-Durables,Plastic Products
AWI,Armstrong World Industries Inc,77.06,3688072412.06,n/a,n/a,Consumer Non-Durables,Plastic Products
AHI,"Avadim Health, Inc.",n/a,0,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics
BGS,"B&G Foods, Inc.",27.69,1779161665.71,n/a,n/a,Consumer Non-Durables,Packaged Foods
BRBR,"BellRing Brands, Inc.",20.4,804342868.8,n/a,2019,Consumer Non-Durables,Packaged Foods
BERY,"Berry Global Group, Inc.",53,7075500000,n/a,2012,Consumer Non-Durables,Plastic Products
BYND,"Beyond Meat, Inc.",139.9,8765526694.1,n/a,2019,Consumer Non-Durables,Packaged Foods
BHAT,Blue Hat Interactive Entertainment Technology,0.8823,31005004.8822,n/a,2019,Consumer Non-Durables,Recreational Products/Toys
SAM,"Boston Beer Company, Inc. (The)",930.84,11395909230.72,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,5.12,303016576,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
BRFS,BRF S.A.,4.11,3319676435.82,n/a,n/a,Consumer Non-Durables,Meat/Poultry/Fish
BRID,Bridgford Foods Corporation,18.65,169282916.8,n/a,n/a,Consumer Non-Durables,Specialty Foods
BV,"BrightView Holdings, Inc.",13.64,1430646199.4,n/a,2018,Consumer Non-Durables,Farming/Seeds/Milling
BTI,British American Tobacco p.l.c.,35.31,81009661715.4,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
BG,Bunge Limited,58.89,8224616679.63,n/a,2001,Consumer Non-Durables,Packaged Foods
CVGW,"Calavo Growers, Inc.",71.63,1264757730.08,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
CAL,"Caleres, Inc.",11.77,446226076.12,n/a,n/a,Consumer Non-Durables,Shoe Manufacturing
ELY,Callaway Golf Company,21.25,2001315373.75,n/a,1992,Consumer Non-Durables,Recreational Products/Toys
CALM,"Cal-Maine Foods, Inc.",39.13,1908440534,n/a,1996,Consumer Non-Durables,Farming/Seeds/Milling
CPB,Campbell Soup Company,50.02,15119601772.54,n/a,n/a,Consumer Non-Durables,Packaged Foods
GOOS,Canada Goose Holdings Inc.,33.24,3661275443.76,n/a,2017,Consumer Non-Durables,Apparel
