FLWS,"1-800-FLOWERS.COM, Inc.",23.44,1515248374.88,n/a,1999,Consumer Services,Other Specialty Stores
GOED,1847 Goedeker Inc.,6,36667200,n/a,2020,Consumer Services,Home Furnishings
WBAI,500.com Limited,2.69,115674005.41,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation
AHC,A.H. Belo Corporation,1.51,32329738.73,n/a,n/a,Consumer Services,Newspapers/Magazines
ANF,Abercrombie & Fitch Company,20.74,1293844160,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
ASO,"Academy Sports and Outdoors, Inc.",16.45,1479029205.5,n/a,2020,Consumer Services,Other Specialty Stores
AKR,Acadia Realty Trust,14.2,1225007062.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ACEL,"Accel Entertainment, Inc.",10.44,1009382108.4,n/a,2017,Consumer Services,Services-Misc. Amusement & Recreation
ATV,"Acorn International, Inc.",20.8,53475801.6,n/a,2007,Consumer Services,Other Specialty Stores
AEY,"ADDvantage Technologies Group, Inc.",3.19,37606718.6,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services
ADT,ADT Inc.,7.77,6413810416.02,n/a,2018,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,28.63,1491376295.29,n/a,n/a,Consumer Services,Other Consumer Services
AAP,Advance Auto Parts Inc,147.7,10022115410.3,n/a,n/a,Consumer Services,Other Specialty Stores
ACM,AECOM,51.89,7823133114.99,n/a,2007,Consumer Services,Military/Government/Technical
AFYA,Afya Limited,26.52,2471738865.96,n/a,2019,Consumer Services,Other Consumer Services
AGNC,AGNC Investment Corp.,15.28,8330832774.32,n/a,2008,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp.,23.43,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,23.85,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp.,23.11,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,22.3,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ADC,Agree Realty Corporation,65.9,3648917597.5,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ACI,"Albertsons Companies, Inc.",16.03,7576624624.45,n/a,2020,Consumer Services,Food Chains
ALEX,"Alexander & Baldwin, Inc.",15.65,1132345530.55,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ALX,"Alexander&#39;s, Inc.",273.36,1396128794.4,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",163.73,22094321686.01,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ALLE,Allegion plc,114.04,10496129270.6,n/a,2013,Consumer Services,Diversified Commercial Services
AESE,"Allied Esports Entertainment, Inc.",1.03,36164168.29,n/a,2017,Consumer Services,Services-Misc. Amusement & Recreation
PINE,"Alpine Income Property Trust, Inc.",16.01,119414667.55,n/a,2019,Consumer Services,Real Estate Investment Trusts
ATUS,"Altice USA, Inc.",33.92,18941265741.44,n/a,2017,Consumer Services,Television Services
ASPS,Altisource Portfolio Solutions S.A.,13.18,206263164.62,n/a,n/a,Consumer Services,Other Consumer Services
AMZN,"Amazon.com, Inc.",3168.04,1589567817791.32,n/a,1997,Consumer Services,Catalog/Specialty Distribution
AMBO,Ambow Education Holding Ltd.,2.49,57806186.64,n/a,n/a,Consumer Services,Other Consumer Services
AMC,"AMC Entertainment Holdings, Inc.",4.27,586672200.66,n/a,2013,Consumer Services,Movies/Entertainment
AMCX,AMC Networks Inc.,32.97,1359656028.36,n/a,n/a,Consumer Services,Television Services
UHAL,Amerco,414.23,8122134023.24,n/a,n/a,Consumer Services,Rental/Leasing Companies
AAT,"American Assets Trust, Inc.",28.69,1729517233.01,n/a,2011,Consumer Services,Real Estate Investment Trusts
ACC,American Campus Communities Inc,39.8,5477757221.8,n/a,2004,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",17.99,2988390554.17,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
AFIN,"American Finance Trust, Inc.",7.38,803218602.42,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",24.89,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AMH,American Homes 4 Rent,28.72,9083077438.24,n/a,2013,Consumer Services,Real Estate Investment Trusts
APEI,"American Public Education, Inc.",31.04,459676698.88,n/a,2007,Consumer Services,Other Consumer Services
AREC,American Resources Corporation,1.8,64084338,n/a,n/a,Consumer Services,Other Consumer Services
AMT,American Tower Corporation (REIT),231.2,102702128832,n/a,n/a,Consumer Services,Real Estate Investment Trusts
COLD,Americold Realty Trust,34.13,6991868933.08,n/a,2018,Consumer Services,Real Estate Investment Trusts
AXR,AMREP Corporation,5.9352,43465665.624,n/a,n/a,Consumer Services,Newspapers/Magazines
ANGI,ANGI Homeservices Inc.,12.36,6177494603.28,n/a,n/a,Consumer Services,Advertising
NLY,Annaly Capital Management Inc,8,11185826640,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ANH,Anworth Mortgage Asset  Corporation,2.15,213356548.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AIV,Apartment Investment and Management Company,30.35,3648881437.6,n/a,1994,Consumer Services,Real Estate Investment Trusts
ARI,Apollo Commercial Real Estate Finance,10.78,1512399115.92,n/a,2009,Consumer Services,Real Estate Investment Trusts
AMEH,"Apollo Medical Holdings, Inc.",18.22,670311886.9,n/a,n/a,Consumer Services,Professional Services
APLE,"Apple Hospitality REIT, Inc.",13.26,2960507252.82,n/a,2015,Consumer Services,Real Estate Investment Trusts
APDN,"Applied DNA Sciences, Inc.",7.52,41065058.08,n/a,n/a,Consumer Services,Other Consumer Services
ARMK,Aramark,35,8859784430,n/a,2013,Consumer Services,Restaurants
ABR,Arbor Realty Trust,13.32,1643622585.48,n/a,2004,Consumer Services,Real Estate Investment Trusts
ARC,"ARC Document Solutions, Inc.",1.45,63601374.65,n/a,2004,Consumer Services,Professional Services
ARCE,Arco Platform Limited,43.75,2519320868.75,n/a,2018,Consumer Services,Other Consumer Services
ARCO,Arcos Dorados Holdings Inc.,4.93,1021819126.99,n/a,2011,Consumer Services,Restaurants
ACRE,Ares Commercial Real Estate Corporation,11.14,372543178.18,n/a,2012,Consumer Services,Real Estate Investment Trusts
ARKR,Ark Restaurants Corp.,14.39,50399636.73,n/a,n/a,Consumer Services,Restaurants
AAIC,Arlington Asset Investment Corp,3.21,107302875.27,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp,24.1,0,n/a,2015,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp,24.7,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
ARR,"ARMOUR Residential REIT, Inc.",10.58,684845039.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc,2.65,140495071.2,n/a,2003,Consumer Services,Real Estate Investment Trusts
AINC,Ashford Inc.,6.49,16574953.78,n/a,2014,Consumer Services,Professional Services
ASPN,"Aspen Aerogels, Inc.",14.12,379375030.4,n/a,2014,Consumer Services,RETAIL: Building Materials
ASPU,Aspen Group Inc.,12.15,296888724.9,n/a,n/a,Consumer Services,Other Consumer Services
HOME,At Home Group Inc.,18.94,1217282095.72,n/a,2016,Consumer Services,Home Furnishings
AACG,ATA Creativity Global,1.22,14448023.24,11842642,n/a,Consumer Services,Other Consumer Services
ATIF,ATIF Holdings Limited,0.7638,35909808.0012,n/a,2019,Consumer Services,Professional Services
ATCX,"Atlas Technical Consultants, Inc.",5.15,52468730.45,n/a,2019,Consumer Services,Professional Services
ATCXW,"Atlas Technical Consultants, Inc.",1.01,0,n/a,2019,Consumer Services,Professional Services
AZO,"AutoZone, Inc.",1137.65,26365669008.1,n/a,n/a,Consumer Services,Other Specialty Stores
AVCO,Avalon GloboCare Corp.,1.26,102562442.64,n/a,n/a,Consumer Services,Professional Services
AVB,"AvalonBay Communities, Inc.",166.59,23257460477.97,n/a,n/a,Consumer Services,Real Estate Investment Trusts
CAR,"Avis Budget Group, Inc.",35.17,2450763806.37,n/a,n/a,Consumer Services,Rental/Leasing Companies
AYRO,"AYRO, Inc.",7.39,193976392.83,n/a,n/a,Consumer Services,Telecommunications Equipment
BALY,Bally&#39;s Corporation,44.43,1354051212.51,n/a,2019,Consumer Services,Hotels/Resorts
BZUN,Baozun Inc.,37.16,1767179213.48,47555953,2015,Consumer Services,Catalog/Specialty Distribution
MPV,Barings Participation Investors,12.24,129764808,n/a,1988,Consumer Services,Miscellaneous
BNED,"Barnes & Noble Education, Inc",3.63,176538214.71,n/a,2015,Consumer Services,Other Specialty Stores
BBQ,"BBQ Holdings, Inc. ",4.55,42242677.75,n/a,n/a,Consumer Services,Restaurants
BECN,"Beacon Roofing Supply, Inc.",36.39,2525120476.95,n/a,2004,Consumer Services,RETAIL: Building Materials
BBGI,"Beasley Broadcast Group, Inc.",1.51,44227850.17,n/a,2000,Consumer Services,Broadcasting
BBBY,Bed Bath & Beyond Inc.,20.96,2641132270.24,n/a,1992,Consumer Services,Home Furnishings
BBY,"Best Buy Co., Inc.",108.8,28160937158.4,n/a,n/a,Consumer Services,Consumer Electronics/Video Chains
BWMX,"Betterware de Mexico, S.A.B de C.V.",28.31,985280743.56,n/a,n/a,Consumer Services,Catalog/Specialty Distribution
BGFV,Big 5 Sporting Goods Corporation,9.53,208770546.04,n/a,2002,Consumer Services,Other Specialty Stores
BIG,"Big Lots, Inc.",51.67,2028411205.13,n/a,n/a,Consumer Services,Department/Specialty Retail Stores
BH,Biglari Holdings Inc.,112,347531520,n/a,2018,Consumer Services,Restaurants
BHTG,"BioHiTech Global, Inc.",1.45,33863488.5,n/a,n/a,Consumer Services,Other Consumer Services
BGI,Birks Group Inc.,0.8687,15611304.3247,n/a,n/a,Consumer Services,Consumer Specialties
BJRI,"BJ&#39;s Restaurants, Inc.",33.03,737124234.3,n/a,n/a,Consumer Services,Restaurants
BJ,"BJ&#39;s Wholesale Club Holdings, Inc.",40.99,5627124005.9,n/a,2018,Consumer Services,Department/Specialty Retail Stores
BLMN,"Bloomin&#39; Brands, Inc.",17.5,1532554012.5,n/a,2012,Consumer Services,Restaurants
APRN,"Blue Apron Holdings, Inc.",7.67,135650132.02,n/a,2017,Consumer Services,Catalog/Specialty Distribution
BRG,"Bluerock Residential Growth REIT, Inc.",10.2,243246366.6,n/a,2014,Consumer Services,Real Estate Investment Trusts
BMCH,"BMC Stock Holdings, Inc.",48.94,3292875534.2,n/a,2013,Consumer Services,RETAIL: Building Materials
WIFI,"Boingo Wireless, Inc.",14.15,630112008.6,n/a,2011,Consumer Services,Telecommunications Equipment
BCC,"Boise Cascade, L.L.C.",43.25,1695453024.5,n/a,2013,Consumer Services,RETAIL: Building Materials
BKNG,Booking Holdings Inc.,2028.45,83074991246.4,n/a,n/a,Consumer Services,Transportation Services
BOOT,"Boot Barn Holdings, Inc.",41.26,1191048335.26,n/a,2014,Consumer Services,Clothing/Shoe/Accessory Stores
BAH,Booz Allen Hamilton Holding Corporation,86.79,11968354018.5,n/a,2010,Consumer Services,Professional Services
BQ,Boqii Holding Limited,6.62,600784952.68,n/a,2020,Consumer Services,Other Specialty Stores
BXP,"Boston Properties, Inc.",98.16,15279540348.24,n/a,1997,Consumer Services,Real Estate Investment Trusts
BOXL,Boxlight Corporation,1.53,78283641.87,n/a,2017,Consumer Services,Other Consumer Services
BYD,Boyd Gaming Corporation,38.49,4293178564.47,n/a,1993,Consumer Services,Hotels/Resorts
BHR,Braemar Hotels & Resorts Inc.,4.09,150048721.61,n/a,2013,Consumer Services,Real Estate Investment Trusts
BDN,Brandywine Realty Trust,11.13,1898477089.32,n/a,n/a,Consumer Services,Real Estate Investment Trusts
BEDU,Bright Scholar Education Holdings Limited,6.46,778747418.56,n/a,2017,Consumer Services,Other Consumer Services
EAT,"Brinker International, Inc.",50.11,2269454088.95,n/a,n/a,Consumer Services,Restaurants
BRX,Brixmor Property Group Inc.,15.27,4527283361.97,n/a,2013,Consumer Services,Real Estate Investment Trusts
BRMK,Broadmark Realty Capital Inc.,10.15,1342198516.05,n/a,2019,Consumer Services,Real Estate Investment Trusts
BNL,"Broadstone Net Lease, Inc.",17.63,2552585148.76,n/a,2020,Consumer Services,Real Estate Investment Trusts
BAM,Brookfield Asset Management Inc,40.49,61125150059.86,n/a,n/a,Consumer Services,Building operators
BAMH,Brookfield Finance Inc.,25.36,0,n/a,2020,Consumer Services,Building operators
BAMI,Brookfield Finance Inc.,25.06,0,n/a,2020,Consumer Services,Building operators
BIP,Brookfield Infrastructure Partners LP,49.81,14711849920.84,n/a,n/a,Consumer Services,Marine Transportation
BPYU,Brookfield Property REIT Inc.,15.67,613158591.19,n/a,n/a,Consumer Services,Real Estate Investment Trusts
BPYUP,Brookfield Property REIT Inc.,22.28,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
BRT,BRT Apartments Corp.,13.06,224323797.06,n/a,n/a,Consumer Services,Real Estate Investment Trusts
BKE,"Buckle, Inc. (The)",26.82,1325115345.42,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
BBW,"Build-A-Bear Workshop, Inc.",4.09,63769451.77,n/a,2004,Consumer Services,Recreational Products/Toys
BLDR,"Builders FirstSource, Inc.",37.41,4370280680.49,n/a,2005,Consumer Services,RETAIL: Building Materials
BURL,"Burlington Stores, Inc.",218.54,14476122818.08,n/a,2013,Consumer Services,Department/Specialty Retail Stores
CABO,"Cable One, Inc.",1980.67,11932875206.22,n/a,2015,Consumer Services,Television Services
CZR,"Caesars Entertainment, Inc.",68.12,14187838640.56,n/a,n/a,Consumer Services,Hotels/Resorts
CALX,"Calix, Inc",23.68,1462783361.28,n/a,2010,Consumer Services,Telecommunications Equipment
CPT,Camden Property Trust,98.83,9625603095.97,n/a,1993,Consumer Services,Real Estate Investment Trusts
CNNE,"Cannae Holdings, Inc.",39.42,3613089177.9,n/a,2017,Consumer Services,Restaurants
CPHC,Canterbury Park Holding Corporation,11.89,56106829.25,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation
BXMT,"Capital Trust, Inc.",25.98,3798217311.18,n/a,n/a,Consumer Services,Real Estate Investment Trusts
CMO,Capstead Mortgage Corporation,5.63,543186616.87,n/a,n/a,Consumer Services,Real Estate Investment Trusts
CTRE,"CareTrust REIT, Inc.",19.43,1860146127.68,n/a,n/a,Consumer Services,Real Estate Investment Trusts
CCL,Carnival Corporation,19.98,22058216103.6,n/a,1987,Consumer Services,Marine Transportation
CUK,Carnival Corporation,17.67,15596820601.2,n/a,n/a,Consumer Services,Marine Transportation
PRTS,"CarParts.com, Inc.",15.07,713120929.62,n/a,2007,Consumer Services,Other Specialty Stores
CSV,"Carriage Services, Inc.",27.21,488959019.88,n/a,n/a,Consumer Services,Other Consumer Services
TAST,"Carrols Restaurant Group, Inc.",6.8,354222431.2,n/a,2006,Consumer Services,Restaurants
CTT,"CatchMark Timber Trust, Inc.",9.59,467661116.23,n/a,2013,Consumer Services,Real Estate Investment Trusts
CATO,Cato Corporation (The),8.06,184848596.14,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
CDW,CDW Corporation,130.49,18658531653.39,n/a,2013,Consumer Services,Catalog/Specialty Distribution
FUN,"Cedar Fair, L.P.",38.03,2156542034.14,n/a,1987,Consumer Services,Services-Misc. Amusement & Recreation
CDR,"Cedar Realty Trust, Inc.",7.94,107441078.68,n/a,n/a,Consumer Services,Real Estate Investment Trusts
CNTY,"Century Casinos, Inc.",5.91,174793935.42,n/a,n/a,Consumer Services,Hotels/Resorts
GIB,CGI Inc.,73.8,19108793781,n/a,n/a,Consumer Services,Professional Services
CHTR,"Charter Communications, Inc.",651.99,133592214412.23,n/a,n/a,Consumer Services,Television Services
CLDT,Chatham Lodging Trust (REIT),11.01,517166168.04,n/a,2010,Consumer Services,Real Estate Investment Trusts
CHGG,"Chegg, Inc.",77.93,10038232501.84,n/a,2013,Consumer Services,Other Consumer Services
CHMI,Cherry Hill Mortgage Investment Corporation,9.06,154716333.48,n/a,2013,Consumer Services,Real Estate Investment Trusts
CHWY,"Chewy, Inc.",77.58,32001349066.56,n/a,2019,Consumer Services,Catalog/Specialty Distribution
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",17.2,217561045.6,n/a,2017,Consumer Services,Movies/Entertainment
CSSEN,"Chicken Soup for the Soul Entertainment, Inc.",25.396,0,n/a,n/a,Consumer Services,Movies/Entertainment
