AXAS,Abraxas Petroleum Corporation,2.36,19832177.4,n/a,n/a,Energy,Oil & Gas Production
AE,"Adams Resources & Energy, Inc.",26.5,112420526,n/a,n/a,Energy,Oil Refining/Marketing
ARLP,"Alliance Resource Partners, L.P.",4.5,572378485.5,n/a,1999,Energy,Coal Mining
AR,Antero Resources Corporation,3.92,1053194024.4,n/a,2013,Energy,Oil & Gas Production
APA,Apache Corporation,12.89,4865693765.98,n/a,n/a,Energy,Oil & Gas Production
ARCH,"Arch Resources, Inc.",33.44,506525344.16,n/a,2016,Energy,Coal Mining
AT,Atlantic Power Corporation,2.06,183798490.08,n/a,n/a,Energy,Electric Utilities: Central
BKR,Baker Hughes Company,18.72,19380005686.08,n/a,2017,Energy,Metal Fabrications
BLDP,"Ballard Power Systems, Inc.",20.53,5358193188.08,n/a,n/a,Energy,Industrial Machinery/Components
BRN,"Barnwell Industries, Inc.",1.09,9022104.4,n/a,n/a,Energy,Oil & Gas Production
BATL,Battalion Oil Corporation,7.66,124122387.22,n/a,n/a,Energy,Oil & Gas Production
BTE,Baytex Energy Corp,0.51,286212000,n/a,n/a,Energy,Oil & Gas Production
BRY,Berry Corporation (bry),3.84,306928646.4,n/a,2018,Energy,Oil & Gas Production
BBL,BHP Group Plc,45.46,114961294336.44,n/a,n/a,Energy,Coal Mining
BSM,"Black Stone Minerals, L.P.",7.02,1451377200.78,n/a,2015,Energy,Oil & Gas Production
BE,Bloom Energy Corporation,24.52,4075184277.6,n/a,2018,Energy,Industrial Machinery/Components
BKEP,"Blueknight Energy Partners L.P., L.L.C.",1.69,69624768.72,n/a,2011,Energy,Natural Gas Distribution
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",6.08,0,n/a,n/a,Energy,Natural Gas Distribution
BCEI,"Bonanza Creek Energy, Inc.",22.07,459815803.89,n/a,2017,Energy,Oil & Gas Production
BORR,Borr Drilling Limited,0.7572,158148027.228,n/a,2019,Energy,Oil & Gas Production
BPMP,BP Midstream Partners LP,11.34,1188188212.68,n/a,2017,Energy,Natural Gas Distribution
BP,BP p.l.c.,19.56,66072406565.76,n/a,n/a,Energy,Integrated oil Companies
BPT,BP Prudhoe Bay Royalty Trust,2.17,46438000,n/a,n/a,Energy,Integrated oil Companies
MNRL,"Brigham Minerals, Inc.",10.42,588558591,n/a,2019,Energy,Oil & Gas Production
BROG,Brooge Energy Limited ,8.625,945195240.75,n/a,2018,Energy,Integrated oil Companies
BROGW,Brooge Energy Limited ,0.5,0,n/a,2018,Energy,Integrated oil Companies
BC,Brunswick Corporation,74.64,5847492111.84,n/a,n/a,Energy,Industrial Machinery/Components
BWXT,"BWX Technologies, Inc.",56.88,5421207829.68,n/a,n/a,Energy,Industrial Machinery/Components
COG,Cabot Oil & Gas Corporation,17.52,6983119515.12,n/a,1990,Energy,Oil & Gas Production
WHD,"Cactus, Inc.",23.2,1748467188,n/a,2018,Energy,Metal Fabrications
CRC,California Resources Corporation,21.82,1818036312.22,n/a,2020,Energy,Oil & Gas Production
CPE,Callon Petroleum Company,9.51,378047910.72,n/a,n/a,Energy,Oil & Gas Production
CLMT,"Calumet Specialty Products Partners, L.P.",3.63,283366315.98,n/a,2006,Energy,Integrated oil Companies
CEI,"Camber Energy, Inc.",0.8951,22377500,n/a,n/a,Energy,Oil & Gas Production
CNQ,Canadian Natural Resources Limited,22.84,26975364720,n/a,n/a,Energy,Oil & Gas Production
CPST,Capstone Turbine Corporation,8.05,89139952.3,n/a,2000,Energy,Industrial Machinery/Components
CVE,Cenovus Energy Inc,4.96,6095195200,n/a,n/a,Energy,Oil & Gas Production
CDEV,"Centennial Resource Development, Inc.",1.18,328442899.2,n/a,2016,Energy,Oil & Gas Production
CVX,Chevron Corporation,87.18,167822388625.74,n/a,n/a,Energy,Integrated oil Companies
SNP,China Petroleum & Chemical Corporation,45.08,54578901287.68,n/a,n/a,Energy,Integrated oil Companies
CYD,China Yuchai International Limited,16.84,688053620.44,n/a,1994,Energy,Industrial Machinery/Components
XEC,Cimarex Energy Co,35.95,3665581030.45,n/a,n/a,Energy,Oil & Gas Production
CKX,"CKX Lands, Inc.",9.25,17968078.75,n/a,n/a,Energy,Oil & Gas Production
CEO,CNOOC Limited,98.73,44080433210.07,n/a,2001,Energy,Oil & Gas Production
CNX,CNX Resources Corporation,9.41,2112813966.03,n/a,1999,Energy,Oil & Gas Production
CRK,"Comstock Resources, Inc.",4.87,1131892144.95,n/a,n/a,Energy,Oil & Gas Production
CXO,Concho Resources Inc.,57.48,11283590707.2,n/a,2007,Energy,Oil & Gas Production
COP,ConocoPhillips,39.56,42250427851.08,n/a,n/a,Energy,Integrated oil Companies
CCR,CONSOL Coal Resources LP,3.89,107715076.39,n/a,2015,Energy,Coal Mining
CEIX,CONSOL Energy Inc.,5.29,137732354.98,n/a,2017,Energy,Coal Mining
MCF,Contango Oil & Gas Company,1.67,266354514.07,n/a,n/a,Energy,Oil & Gas Production
