YI,"111, Inc.",7.11,181388428.74,25511734,2018,Health Care,Medical/Nursing Services
ATNF,180 Life Sciences Corp.,2.74,66856000,n/a,2017,Health Care,Major Pharmaceuticals
ATNFW,180 Life Sciences Corp.,0.18,0,n/a,2017,Health Care,Major Pharmaceuticals
ONEM,"1Life Healthcare, Inc.",32.87,4372126068.46,n/a,2020,Health Care,Medical/Nursing Services
MMM,3M Company,172.73,99634442986.94,n/a,n/a,Health Care,Medical/Dental Instruments
ETNB,"89bio, Inc.",27.01,536927792.52,n/a,2019,Health Care,Major Pharmaceuticals
NMTR,"9 Meters Biopharma, Inc.",0.9712,145995403.9984,n/a,2018,Health Care,Major Pharmaceuticals
ABT,Abbott Laboratories,108.22,191804970295.82,n/a,n/a,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,104.58,184633262867.34,n/a,2012,Health Care,Major Pharmaceuticals
ABCM,Abcam plc,19.06,170495855.08,8945218,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc.,1.62,159614911.26,n/a,n/a,Health Care,Major Pharmaceuticals
ABMD,"ABIOMED, Inc.",274.1,12386546930.3,n/a,n/a,Health Care,Medical/Dental Instruments
ACIU,AC Immune SA,5.54,397446718.9,n/a,2016,Health Care,Major Pharmaceuticals
ACHC,"Acadia Healthcare Company, Inc.",42.45,3777678647.4,n/a,n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,56.66,9007698409.42,n/a,1985,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",0.29,28098835.73,n/a,n/a,Health Care,Major Pharmaceuticals
XLRN,Acceleron Pharma Inc.,118.07,7113955056.84,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARAY,Accuray Incorporated,4.46,406758502.68,n/a,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",1.5,135716419.5,n/a,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,2.69,33046663.45,n/a,n/a,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",8.62,31184263.68,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACRS,"Aclaris Therapeutics, Inc.",3.34,143350431.94,n/a,2015,Health Care,Major Pharmaceuticals
ACOR,"Acorda Therapeutics, Inc.",0.6678,32029290.72,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATNM,"Actinium Pharmaceuticals, Inc.",11,149451775,n/a,n/a,Health Care,Major Pharmaceuticals
AFIB,"Acutus Medical, Inc.",28.42,791385678.86,n/a,2020,Health Care,Medical/Dental Instruments
ADMS,"Adamas Pharmaceuticals, Inc.",4.53,129197951.07,n/a,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,0.4333,40581850.2124,n/a,n/a,Health Care,Major Pharmaceuticals
AHCO,AdaptHealth Corp. ,29.86,2676468552.6,n/a,2018,Health Care,Medical/Nursing Services
ADAP,Adaptimmune Therapeutics plc,5.01,681857878.77,136099377,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADPT,Adaptive Biotechnologies Corporation,48.22,6595165947.74,n/a,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADCT,ADC Therapeutics SA,37.31,2862372756.88,n/a,2020,Health Care,Major Pharmaceuticals
ADXN,Addex Therapeutics Ltd,9.79,2947622.15,301085,n/a,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation,99.25,1569014269,n/a,2009,Health Care,Medical/Nursing Services
ADIL,"Adial Pharmaceuticals, Inc",2.33,33535923,n/a,2018,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",0.3011,0,n/a,2018,Health Care,Major Pharmaceuticals
ACET,"Adicet Bio, Inc.",12.33,241542579.24,n/a,2018,Health Care,Major Pharmaceuticals
ADTX,"ADiTx Therapeutics, Inc.",2.04,25050571.68,n/a,2020,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,2.04,192878026.08,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXS,"Advaxis, Inc.",0.295,31217399.435,n/a,n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",13.59,1324720624.77,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGLE,"Aeglea BioTherapeutics, Inc.",8.56,410341635.92,n/a,2016,Health Care,Major Pharmaceuticals
AERI,"Aerie Pharmaceuticals, Inc.",12.41,580971581.13,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARPO,"Aerpio Pharmaceuticals, Inc.",1.71,80560936.89,n/a,n/a,Health Care,Major Pharmaceuticals
AIH,Aesthetic Medical International Holdings Group Ltd.,6.15,16605000,2700000,2019,Health Care,Medical Specialities
AEZS,AEterna Zentaris Inc.,0.3992,25021302.3096,n/a,n/a,Health Care,Major Pharmaceuticals
