KRKR,36Kr Holdings Inc.,3.31,8306378.8,2509480,2019,Miscellaneous,Business Services
ACTG,Acacia Research Corporation,3.69,181841181.57,n/a,n/a,Miscellaneous,Multi-Sector Companies
ACN,Accenture plc,249.09,157946338456.86,n/a,2001,Miscellaneous,Business Services
ADV,Advantage Solutions Inc. ,10.51,3294098662.82,n/a,2019,Miscellaneous,Business Services
ADVWW,Advantage Solutions Inc. ,1.8,0,n/a,2019,Miscellaneous,Business Services
AKAM,"Akamai Technologies, Inc.",103.51,16850805697.88,n/a,1999,Miscellaneous,Business Services
BABA,Alibaba Group Holding Limited,263.36,712556454976,n/a,2014,Miscellaneous,Business Services
ALJJ,"ALJ Regional Holdings, Inc.",0.9579,40397316.4989,n/a,n/a,Miscellaneous,Business Services
ADS,Alliance Data Systems Corporation,73.14,3490371281.76,n/a,2001,Miscellaneous,Business Services
AMCI,AMCI Acquisition Corp.,13,265696704,n/a,2018,Miscellaneous,Industrial Machinery/Components
AMCIU,AMCI Acquisition Corp.,14.8595,0,n/a,2018,Miscellaneous,Industrial Machinery/Components
AMCIW,AMCI Acquisition Corp.,1.89,0,n/a,2018,Miscellaneous,Industrial Machinery/Components
AMWL,American Well Corporation,26.54,6235734469.36,n/a,2020,Miscellaneous,Business Services
ARTL,"Artelo Biosciences, Inc.",0.6143,9283047.8941,n/a,n/a,Miscellaneous,Business Services
ARTLW,"Artelo Biosciences, Inc.",0.11,0,n/a,n/a,Miscellaneous,Business Services
ATKR,Atkore International Group Inc.,38.98,1848037356.28,n/a,2016,Miscellaneous,Industrial Machinery/Components
RILY,"B. Riley Financial, Inc.",36.14,919097120.5,n/a,n/a,Miscellaneous,Business Services
RILYG,"B. Riley Financial, Inc.",24.98,0,n/a,n/a,Miscellaneous,Business Services
RILYH,"B. Riley Financial, Inc.",25.35,0,n/a,n/a,Miscellaneous,Business Services
RILYI,"B. Riley Financial, Inc.",24.98,0,n/a,n/a,Miscellaneous,Business Services
RILYL,"B. Riley Financial, Inc.",25.255,0,n/a,n/a,Miscellaneous,Business Services
RILYM,"B. Riley Financial, Inc.",24.48,0,n/a,n/a,Miscellaneous,Business Services
RILYN,"B. Riley Financial, Inc.",24.73,0,n/a,n/a,Miscellaneous,Business Services
RILYO,"B. Riley Financial, Inc.",24.9,0,n/a,n/a,Miscellaneous,Business Services
RILYP,"B. Riley Financial, Inc.",24.82,0,n/a,n/a,Miscellaneous,Business Services
RILYZ,"B. Riley Financial, Inc.",25.04,0,n/a,n/a,Miscellaneous,Business Services
BTN,"Ballantyne Strong, Inc",1.84,27214288.16,n/a,n/a,Miscellaneous,Industrial Machinery/Components
BFAM,Bright Horizons Family Solutions Inc.,170.11,10302595114.32,n/a,2013,Miscellaneous,Other Consumer Services
BR,"Broadridge Financial Solutions, Inc.",146.88,16982189075.52,n/a,n/a,Miscellaneous,Business Services
BSQR,BSQUARE Corporation,1.41,18661403.58,n/a,1999,Miscellaneous,Business Services
CAE,CAE Inc,24.35,6473544948.7,n/a,n/a,Miscellaneous,Industrial Machinery/Components
CAJ,"Canon, Inc.",17.73,18541594632.87,n/a,n/a,Miscellaneous,Industrial Machinery/Components
CATM,Cardtronics plc,24.28,1079956481.36,n/a,2007,Miscellaneous,Business Services
CASS,"Cass Information Systems, Inc",42.43,611931103.19,n/a,n/a,Miscellaneous,Business Services
CBAT,"CBAK Energy Technology, Inc.",8.07,536390989.95,n/a,n/a,Miscellaneous,Industrial Machinery/Components
CBZ,"CBIZ, Inc.",24.22,1320752276.06,n/a,n/a,Miscellaneous,Business Services
CDK,"CDK Global, Inc.",47.9,5829042249.5,n/a,n/a,Miscellaneous,Business Services
CCRC,"China Customer Relations Centers, Inc.",4.6769,85725706.24,n/a,2015,Miscellaneous,Business Services
CREG,China Recycling Energy Corporation,5.19,16221168.54,n/a,n/a,Miscellaneous,Business Services
CMPR,Cimpress PLC,89.63,2330707059.87,n/a,n/a,Miscellaneous,Publishing
