VNET,"21Vianet Group, Inc.",28.34,2300562754.88,81177232,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",32.31,2328544801.98,n/a,2014,Technology,Computer Software: Prepackaged Software
DDD,3D Systems Corporation,9.15,1135898705.25,n/a,n/a,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",70.5,2780719585.5,39442831,2004,Technology,Diversified Commercial Services
EGHT,8x8 Inc,19.77,2101974829.26,n/a,n/a,Technology,EDP Services
ATEN,"A10 Networks, Inc.",7.98,612133550.7,n/a,2014,Technology,Computer Communications Equipment
ABST,Absolute Software Corporation,10.3,502411216.4,n/a,2020,Technology,Computer Software: Prepackaged Software
ACIA,"Acacia Communications, Inc.",69.68,2936593223.2,n/a,2016,Technology,Semiconductors
ACIW,"ACI Worldwide, Inc.",32.58,3804090679.98,n/a,n/a,Technology,Computer Software: Prepackaged Software
ACMR,"ACM Research, Inc.",82.62,1525563758.88,n/a,2017,Technology,Industrial Machinery/Components
ATVI,"Activision Blizzard, Inc",79.48,61426689063.8,n/a,n/a,Technology,Computer Software: Prepackaged Software
ADBE,Adobe Inc.,478.47,229531141796.01,n/a,1986,Technology,Computer Software: Prepackaged Software
AMD,"Advanced Micro Devices, Inc.",92.66,111443260377.08,n/a,n/a,Technology,Semiconductors
AER,Aercap Holdings N.V.,36.76,4769853093.88,n/a,2006,Technology,Diversified Commercial Services
ACY,AeroCentury Corp.,2.14,3308191.76,n/a,n/a,Technology,Diversified Commercial Services
AGYS,"Agilysys, Inc.",37.36,881367717.68,n/a,n/a,Technology,EDP Services
AGMH,AGM Group Holdings Inc.,15.04,434521467.2,n/a,2018,Technology,EDP Services
API,"Agora, Inc.",38.45,773806250,20125000,2020,Technology,Computer Software: Prepackaged Software
AL,Air Lease Corporation,36.57,4160894592.42,n/a,2011,Technology,Diversified Commercial Services
AIRG,"Airgain, Inc.",13.28,129718468.96,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment
ANTE,AirNet Technology Inc.,1.2,10842658.8,9035549,n/a,Technology,Advertising
KERN,Akerna Corp.,4.29,60311853.03,n/a,2018,Technology,EDP Services
KERNW,Akerna Corp.,0.5244,0,n/a,2018,Technology,EDP Services
ALRM,"Alarm.com Holdings, Inc.",75.91,3728097309.61,n/a,2015,Technology,Computer Software: Prepackaged Software
ALYA,Alithya Group inc.,2.42,140556588.7,n/a,n/a,Technology,"Computer Software: Programming, Data Processing"
ALGM,"Allegro MicroSystems, Inc.",23.95,4536890795.7,n/a,2020,Technology,Semiconductors
ALLT,Allot Ltd.,9.76,343674087.84,n/a,2006,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",13.68,2161189396.08,n/a,n/a,Technology,EDP Services
AOSL,Alpha and Omega Semiconductor Limited,24.84,633107388.6,n/a,2010,Technology,Semiconductors
GOOG,Alphabet Inc.,1760.74,1191010794161.28,n/a,2004,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,1754.4,1186722251596.8,n/a,n/a,Technology,"Computer Software: Programming, Data Processing"
ALTR,Altair Engineering Inc.,53.9,3970129925.3,n/a,2017,Technology,Computer Software: Prepackaged Software
AYX,"Alteryx, Inc.",119.84,7979337518.88,n/a,2017,Technology,Computer Software: Prepackaged Software
AMBA,"Ambarella, Inc.",78.13,2704413462.01,n/a,2012,Technology,Semiconductors
DOX,Amdocs Limited,65.81,8753980390,n/a,n/a,Technology,EDP Services
AMRH,"Ameri Holdings, Inc.",1.59,11911554.96,n/a,n/a,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.0696,0,n/a,n/a,Technology,Semiconductors
AMSWA,"American Software, Inc.",16.42,533327363.42,n/a,n/a,Technology,Computer Software: Prepackaged Software
AVCT,"American Virtual Cloud Technologies, Inc. ",4.96,97393716.8,n/a,2017,Technology,EDP Services
AVCTW,"American Virtual Cloud Technologies, Inc. ",0.31,0,n/a,2017,Technology,EDP Services
AMST,Amesite Inc.,4.52,92297012.36,n/a,2020,Technology,Computer Software: Prepackaged Software
AMKR,"Amkor Technology, Inc.",14.74,3573656236.26,n/a,1998,Technology,Semiconductors
