AIRT,"Air T, Inc.",11,31700383,n/a,n/a,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",30.74,1831789529.8,n/a,n/a,Transportation,Air Freight/Delivery Services
ALK,"Alaska Air Group, Inc.",50.97,6303142764.66,n/a,n/a,Transportation,Air Freight/Delivery Services
ALGT,Allegiant Travel Company,170.19,2789325771.39,n/a,2006,Transportation,Air Freight/Delivery Services
AAL,"American Airlines Group, Inc.",14.13,8630233935.3,n/a,n/a,Transportation,Air Freight/Delivery Services
ARCB,ArcBest Corporation,41.91,1064844879.45,n/a,n/a,Transportation,Trucking Freight/Courier Services
ASC,Ardmore Shipping Corporation,3.31,110174194.05,n/a,2013,Transportation,Marine Transportation
AAWW,Atlas Air Worldwide Holdings,55.81,1535740345.57,n/a,n/a,Transportation,Transportation Services
ATCO,Atlas Corp.,11.32,2785082115.48,n/a,n/a,Transportation,Marine Transportation
AZUL,Azul S.A.,21.27,2424960816.27,n/a,2017,Transportation,Air Freight/Delivery Services
BEST,BEST Inc.,2.93,1129222000,n/a,2017,Transportation,Trucking Freight/Courier Services
BCO,Brink&#39;s Company (The),67.1,3316960674.5,n/a,n/a,Transportation,Oil Refining/Marketing
VTOL,"Bristow Group, Inc.",22.25,661065500.25,n/a,n/a,Transportation,Transportation Services
CHRW,"C.H. Robinson Worldwide, Inc.",93.97,12774857554.19,n/a,1997,Transportation,Oil Refining/Marketing
CNI,Canadian National Railway Company,107.05,76026910000,n/a,n/a,Transportation,Railroads
CP,Canadian Pacific Railway Limited,321.85,43288504115.55,n/a,n/a,Transportation,Railroads
CPLP,Capital Product Partners L.P.,7.63,142094253,n/a,2007,Transportation,Marine Transportation
CTRM,Castor Maritime Inc.,0.174,22830953.424,n/a,n/a,Transportation,Marine Transportation
CEA,China Eastern Airlines Corporation Ltd.,22.38,7331468317.92,n/a,1997,Transportation,Air Freight/Delivery Services
ZNH,China Southern Airlines Company Limited,30.93,9482706433.71,n/a,1997,Transportation,Air Freight/Delivery Services
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",10.46,1039502614.1,n/a,2013,Transportation,Air Freight/Delivery Services
